Latitude;Longitude
51.2509;6.752604
51.25267;6.746652
51.25382;6.740375
51.25495;6.734724
51.25584;6.729393
51.25711;6.724063
51.25875;6.71853
51.26105;6.712162
51.26371;6.707283
51.26709;6.70358
51.27073;6.701788
51.27477;6.701715
51.27826;6.703888
51.28207;6.707897
51.28519;6.711709
51.28835;6.71534
51.29128;6.719093
51.29397;6.722417
51.29676;6.725828
51.30025;6.729722
51.30361;6.73256
51.30819;6.734988
51.31264;6.735838
51.31721;6.735662
51.32162;6.733847
51.32505;6.730763
51.32843;6.725798
51.33179;6.720072
51.3347;6.71386
51.33724;6.707583
51.33907;6.702067
51.34049;6.69645
51.34169;6.691184
51.34295;6.685729
51.34402;6.680597
51.34503;6.675118
51.34599;6.669261
51.34771;6.662734
51.35068;6.656742
51.35472;6.653757
51.3587;6.65326
51.36226;6.65513
51.36563;6.6596
51.36766;6.664927
51.36952;6.670535
51.37088;6.677166
51.37172;6.683065
51.37243;6.690678
51.3727;6.697667
51.37308;6.703642
51.37406;6.71047
51.37593;6.716627
51.3785;6.72231
51.38113;6.726998
51.38325;6.730787
51.38595;6.73464
51.38882;6.738345
51.39142;6.740945
51.39544;6.74395
51.3994;6.745445
51.40351;6.745475
51.40749;6.744554
51.41122;6.742735
51.41464;6.74007
51.41782;6.736305
51.42063;6.73282
51.42341;6.728795
51.4265;6.723513
51.42904;6.719228
51.43267;6.714565
51.43627;6.71164
51.44036;6.710743
51.44421;6.711728
51.44755;6.714585
51.45061;6.71879
51.45502;6.723048
51.45974;6.723625
51.46432;6.721221
51.46766;6.717103
51.46979;6.711022
51.47099;6.702137
51.47166;6.695082
51.47249;6.689878
51.47438;6.684255
51.4783;6.68045
51.48284;6.680115
51.48695;6.683087
51.48977;6.68793
51.49184;6.693161
51.49326;6.698978
51.49434;6.704886
51.49517;6.71011
51.49681;6.716969
51.49959;6.7216
51.50379;6.724255
51.50841;6.72486
51.51245;6.72249
51.51615;6.718632
51.51928;6.71383
51.52172;6.708527
51.52348;6.702755
51.52588;6.694883
51.52744;6.689983
51.52964;6.684625
51.532;6.680435
51.53526;6.67701
51.53895;6.675375
51.54301;6.675682
51.54701;6.677175
51.55094;6.679423
51.55454;6.682088
51.55812;6.685258
51.56261;6.687145
51.56659;6.687307
51.57061;6.685558
51.57395;6.681452
51.57613;6.676486
51.5775;6.67075
51.57804;6.664979
51.57788;6.657883
51.5773;6.651755
51.57644;6.647305
51.57522;6.642875
51.57372;6.639359
51.57161;6.63464
51.56957;6.630172
51.56781;6.625162
51.56636;6.618063
51.5669;6.611193
51.56895;6.604565
51.57144;6.60061
51.57755;6.59701
51.5842;6.597732
51.58875;6.598265
51.59362;6.598272
51.59817;6.597187
51.60336;6.595165
51.60678;6.593325
51.6108;6.59088
51.61457;6.588795
51.6189;6.586318
51.62302;6.586117
51.62684;6.588268
51.63048;6.592733
51.63367;6.597695
51.63681;6.602043
51.64193;6.604977
51.64603;6.604555
51.65146;6.601153
51.6562;6.594018
51.65863;6.58792
51.65973;6.581697
51.65977;6.574286
51.65959;6.567335
51.65896;6.56074
51.65806;6.553993
51.65768;6.547323
51.65821;6.541081
51.66005;6.533918
51.66187;6.524832
51.66208;6.516978
51.66142;6.507603
51.66159;6.499365
51.66197;6.493114
51.6654;6.482005
51.67012;6.476297
51.67751;6.472498
51.70023;6.46263
51.70023;6.46263
51.69233;6.467848
51.69729;6.46531
51.70283;6.45918
51.70531;6.45461
51.7075;6.44726
51.7082;6.443205
51.71075;6.4211
51.71277;6.414494
51.71571;6.409616
51.72964;6.412197
51.75084;6.4172
51.75084;6.4172
51.74689;6.421198
51.75171;6.41595
51.75397;6.41078
51.75515;6.404018
51.75418;6.376443
51.75591;6.346338
51.76845;6.328327
51.77464;6.324793
51.78111;6.32253
51.78647;6.32136
51.80646;6.300562
51.81913;6.268734
51.83881;6.170185
51.84057;6.165022
51.8425;6.158868
51.84797;6.112445
51.84814;6.105085
51.85019;6.094258
51.85281;6.087222
51.85583;6.081675
51.85958;6.076435
51.86248;6.071193
51.86483;6.065553
51.86695;6.059124
51.86871;6.052605
51.87032;6.045982
51.87165;6.038983
51.87331;6.03296
51.87595;6.027235
51.87907;6.021713
51.88123;6.015692
51.88173;6.007773
51.87948;5.999375
51.87623;5.993927
51.87223;5.989075
51.86789;5.985865
51.86363;5.983758
51.85933;5.981421
51.856;5.976488
51.85413;5.969295
51.85457;5.96079
51.85762;5.953053
51.86192;5.947622
51.86648;5.94344
51.86994;5.939372
51.87287;5.932518
51.87429;5.925601
51.87439;5.918577
51.87372;5.91177
51.87248;5.904312
51.87063;5.897318
51.86862;5.892238
51.86615;5.887935
51.8627;5.88313
51.85832;5.880655
51.8537;5.877316
51.85162;5.87295
51.8509;5.869272
51.85054;5.864733
51.85049;5.861262
51.85037;5.860892
51.85035;5.860892
51.85037;5.860882
51.85037;5.860895
51.85038;5.860912
51.85039;5.860892
51.85037;5.860902
51.85036;5.860903
51.85037;5.86091
51.85036;5.860897
51.85037;5.8609
51.85037;5.860895
51.85037;5.860892
51.85035;5.860885
51.85035;5.860893
51.85034;5.860895
51.85036;5.860888
51.85038;5.860915
51.85041;5.860882
51.85037;5.860912
51.85037;5.860883
51.85041;5.860873
51.85039;5.860885
51.85037;5.8609
51.85035;5.860892
51.85036;5.860885
51.85035;5.860892
51.85036;5.860905
51.85035;5.860887
51.85036;5.860892
51.85035;5.860902
51.85036;5.860913
51.85035;5.860902
51.8504;5.860675
51.85051;5.860532
51.85119;5.858205
51.85222;5.853905
51.85452;5.847538
51.85673;5.842788
51.85967;5.837224
51.86298;5.831252
51.86618;5.826263
51.86906;5.82122
51.87135;5.815762
51.87357;5.80993
51.87532;5.802888
51.87707;5.79344
51.87775;5.786988
51.87826;5.780375
51.87852;5.77297
51.87951;5.765775
51.88123;5.759122
51.88298;5.75332
51.88445;5.747272
51.8853;5.741027
51.88573;5.734145
51.88668;5.726228
51.88847;5.719923
51.89077;5.71371
51.89251;5.709317
51.89427;5.703375
51.89522;5.696983
51.89565;5.690748
51.8957;5.683908
51.89554;5.677382
51.89525;5.670838
51.89545;5.664287
51.89596;5.658008
51.89693;5.651818
51.89796;5.645892
51.89883;5.6399
51.89937;5.63277
51.89956;5.626438
51.89939;5.620077
51.89924;5.613852
51.89904;5.607262
51.89883;5.599705
51.89932;5.591367
51.90031;5.58367
51.9012;5.577052
51.90182;5.569782
51.90179;5.56284
51.90089;5.554777
51.89967;5.547373
51.89791;5.54034
51.89582;5.534672
51.89391;5.528555
51.89246;5.522463
51.8911;5.517182
51.89005;5.510183
51.88899;5.504008
51.8886;5.49729
51.88888;5.489408
51.88944;5.482623
51.88986;5.47624
51.88983;5.46961
51.88909;5.462787
51.88789;5.45606
51.88592;5.44914
51.88302;5.442263
51.87953;5.436685
51.87599;5.432312
51.87215;5.428435
51.86867;5.4246
51.86475;5.420982
51.86033;5.418682
51.85609;5.417343
51.85138;5.415642
51.84727;5.412909
51.84314;5.409055
51.83987;5.404465
51.83668;5.399543
51.83358;5.394145
51.83053;5.389087
51.82663;5.384077
51.82268;5.380022
51.81816;5.376397
51.81447;5.373281
51.81034;5.369205
51.80717;5.364312
51.80478;5.358307
51.80402;5.350787
51.8049;5.343837
51.80752;5.337353
51.81077;5.332808
51.8148;5.327971
51.81831;5.32344
51.82147;5.317395
51.82352;5.309938
51.82409;5.301298
51.82354;5.293193
51.82125;5.282957
51.81949;5.274581
51.81839;5.266198
51.81777;5.256715
51.81741;5.248291
51.8158;5.240871
51.81367;5.233218
51.8117;5.224107
51.81011;5.216317
51.80939;5.208202
51.8102;5.198645
51.81213;5.190615
51.81485;5.181863
51.81669;5.174237
51.81697;5.165113
51.81601;5.156637
51.81425;5.14714
51.81341;5.138528
51.81438;5.1283
51.81679;5.119612
51.81974;5.112113
51.82329;5.103508
51.82591;5.094244
51.82673;5.084203
51.82563;5.07485
51.82331;5.066679
51.81964;5.057148
51.81758;5.0486
51.81675;5.03809
51.81812;5.02743
51.81999;5.016315
51.821;5.005635
51.82069;4.996137
51.82109;4.984975
51.82225;4.975395
51.82397;4.96452
51.82523;4.95439
51.82646;4.943402
51.82795;4.932467
51.82817;4.921705
51.82629;4.911053
51.82302;4.900953
51.81981;4.892682
51.8158;4.884115
51.8119;4.877632
51.80737;4.870245
51.80346;4.86268
51.80024;4.853583
51.79836;4.844692
51.79755;4.835098
51.7979;4.826282
51.79977;4.817125
51.80079;4.80779
51.80037;4.798244
51.79845;4.788143
51.79608;4.779099
51.79229;4.770512
51.78857;4.76352
51.78455;4.757068
51.7791;4.751438
51.77327;4.748255
51.76714;4.745632
51.76107;4.74284
51.75568;4.737852
51.75007;4.731682
51.74488;4.724462
51.74085;4.717323
51.73713;4.709635
51.73321;4.701277
51.72985;4.69243
51.7268;4.683145
51.72368;4.673535
51.72155;4.66324
51.71995;4.652888
51.71805;4.642205
51.71567;4.631043
51.71352;4.619029
51.71139;4.606722
51.70811;4.595833
51.70572;4.585337
51.70368;4.57542
51.70177;4.566168
51.69987;4.556901
51.69794;4.546717
51.69638;4.537718
51.695;4.526958
51.69389;4.516098
51.69328;4.505993
51.69333;4.490218
51.69411;4.479907
51.69525;4.469883
51.6965;4.459752
51.69803;4.448822
51.69942;4.438189
51.69917;4.428223
51.69651;4.422197
51.69354;4.416867
51.69176;4.413434
51.69039;4.410915
51.69001;4.410275
51.68901;4.408398
51.68786;4.406273
51.68667;4.403947
51.68548;4.400955
51.68356;4.396232
51.68035;4.39124
51.67611;4.386535
51.67086;4.380628
51.66603;4.372046
51.66255;4.362768
51.66033;4.353295
51.65891;4.342447
51.65781;4.331745
51.65602;4.318735
51.65429;4.309003
51.65155;4.297127
51.648;4.285733
51.64454;4.274392
51.64113;4.262833
51.63735;4.249748
51.63415;4.239138
51.63112;4.228415
51.6285;4.217822
51.62502;4.20796
51.62001;4.200177
51.61277;4.193933
51.60556;4.1907
51.59423;4.192513
51.58747;4.197673
51.58062;4.206267
51.57391;4.21507
51.56796;4.222905
51.56141;4.230622
51.55509;4.234977
51.5481;4.236187
51.53925;4.234133
51.52996;4.22916
51.5242;4.225915
51.5145;4.220567
51.50779;4.219382
51.50021;4.220362
51.49118;4.222405
51.48332;4.22412
51.47618;4.225672
51.47007;4.226972
51.46253;4.22826
51.45553;4.229537
51.44871;4.230943
51.44866;4.230923
51.44841;4.230982
51.44181;4.232292
51.43568;4.2333
51.43044;4.234365
51.42082;4.236072
51.38664;4.247324
51.37616;4.266207
51.37463;4.274138
51.37405;4.286149
51.37318;4.295688
51.36829;4.300455
51.36191;4.300931
51.35253;4.301095
51.34661;4.301113
51.33521;4.303782
51.32857;4.307848
51.31679;4.315902
51.31035;4.320853
51.30193;4.327693
51.29295;4.334313
51.28521;4.339898
51.27965;4.342847
51.27507;4.33968
51.27606;4.335623
51.27777;4.333193
51.2778;4.333157
51.27779;4.333182
51.27846;4.332162
51.28054;4.329182
51.28101;4.322075
51.27715;4.316982
51.27449;4.312383
51.27048;4.307633
51.26761;4.303598
51.2639;4.299475
51.25749;4.301971
51.25364;4.311626
51.25185;4.325153
51.24765;4.335289
51.24174;4.343975
51.23905;4.351557
51.23827;4.360742
51.23823;4.371615
51.23845;4.381228
51.23766;4.392748
51.23244;4.39893
51.22662;4.397155
51.22053;4.393217
51.2143;4.388348
51.20906;4.381175
51.20756;4.378365
51.20827;4.382142
51.20947;4.384975
51.20947;4.384965
51.20949;4.384978
51.20949;4.384972
51.20945;4.384962
51.20948;4.384968
51.20947;4.384972
51.20945;4.385015
51.20949;4.384988
51.2095;4.384985
51.2095;4.384988
51.20951;4.384972
51.20949;4.384955
51.20949;4.384974
51.20945;4.384967
51.20945;4.384958
51.20945;4.384948
51.20944;4.384957
51.20948;4.384982
51.20947;4.384978
51.20947;4.384968
51.20948;4.38496
51.20949;4.384962
51.20948;4.38497
51.20949;4.38497
51.20951;4.384984
51.2095;4.384975
51.20948;4.384967
51.20948;4.384974
51.20949;4.38497
51.20948;4.384995
51.20949;4.384968
51.20948;4.384967
51.20947;4.38498
51.20949;4.384975
51.20949;4.384967
51.2095;4.38497
51.20949;4.384965
51.20965;4.385092
51.21103;4.386017
51.21335;4.387955
51.21779;4.390282
51.2245;4.394665
51.23135;4.3987
51.2364;4.396095
51.23826;4.385278
51.23833;4.37286
51.23806;4.361423
51.23863;4.35132
51.24178;4.342692
51.24597;4.335943
51.25139;4.326618
51.25282;4.315438
51.25447;4.304273
51.26052;4.297818
51.2683;4.302195
51.2734;4.31052
51.27816;4.318933
51.28371;4.321638
51.28976;4.31646
51.29379;4.305974
51.29651;4.294
51.29911;4.283612
51.30442;4.274648
51.31011;4.271007
51.31713;4.27106
51.32305;4.27467
51.3299;4.275795
51.33672;4.274909
51.34215;4.27098
51.34566;4.270258
51.3452;4.275283
51.34453;4.281072
51.34427;4.286203
51.34426;4.286572
51.34427;4.286553
51.34417;4.287993
51.34389;4.29072
51.34493;4.294199
51.34756;4.29852
51.35397;4.300728
51.36221;4.300605
51.37305;4.293585
51.37392;4.27939
51.37563;4.267426
51.38012;4.255692
51.40937;4.238153
51.44831;4.229979
51.44957;4.229733
51.45075;4.229528
51.45224;4.229357
51.45528;4.229136
51.45879;4.228702
51.46487;4.227632
51.47244;4.225528
51.48096;4.223922
51.48727;4.222456
51.4967;4.220593
51.50468;4.219137
51.51278;4.219387
51.52077;4.223392
51.52905;4.228577
51.53648;4.232572
51.54474;4.235848
51.5526;4.235458
51.5602;4.231473
51.56981;4.219968
51.57715;4.210117
51.58469;4.2003
51.59254;4.193092
51.60263;4.190135
51.61016;4.191893
51.61811;4.197723
51.62341;4.204718
51.62783;4.215545
51.63077;4.22768
51.63375;4.238227
51.63752;4.249447
51.64199;4.26213
51.6455;4.272413
51.64937;4.2855
51.65258;4.297225
51.65617;4.309864
51.65891;4.321977
51.66008;4.333783
51.66078;4.345587
51.6636;4.358388
51.66679;4.36914
51.6707;4.378692
51.67639;4.385667
51.68197;4.392406
51.6855;4.398197
51.68839;4.40389
51.69032;4.407477
51.69035;4.407533
51.6905;4.407778
51.69301;4.412418
51.69505;4.41645
51.69805;4.422735
51.69964;4.430237
51.69858;4.444048
51.69721;4.446852
51.69579;4.442948
51.69573;4.442577
51.6957;4.442567
51.69571;4.442564
51.69572;4.442574
51.69572;4.442568
51.6957;4.44255
51.69571;4.442574
51.69569;4.442584
51.69569;4.44258
51.69568;4.442577
51.6957;4.442567
51.69569;4.442587
51.69569;4.442587
51.69569;4.442584
51.69569;4.442574
51.69569;4.442606
51.69572;4.442577
51.69573;4.442558
51.69573;4.44257
51.69572;4.442552
51.69574;4.442678
51.69621;4.444489
51.69674;4.447127
51.69654;4.45827
51.69623;4.469863
51.69515;4.482162
51.69477;4.495022
51.69499;4.506828
51.69546;4.518288
51.69687;4.530543
51.69895;4.541697
51.70107;4.553093
51.70374;4.566998
51.70595;4.5782
51.70857;4.58999
51.71087;4.600858
51.71291;4.61058
51.71751;4.61947
51.72594;4.625013
51.73425;4.62868
51.74208;4.631027
51.74951;4.631232
51.75743;4.62796
51.76555;4.626165
51.77394;4.626825
51.78151;4.627113
51.78841;4.624678
51.7964;4.621802
51.80103;4.627079
51.80342;4.636776
51.80819;4.645487
51.81352;4.65269
51.81861;4.661783
51.82419;4.668694
51.83141;4.669718
51.83819;4.672688
51.84546;4.666564
51.85275;4.657632
51.86078;4.649633
51.86797;4.63874
51.87323;4.63185
51.88103;4.626172
51.88766;4.619562
51.89099;4.608634
51.89499;4.592145
51.90083;4.581855
51.90363;4.569165
51.90467;4.55774
51.90336;4.542797
51.90022;4.529013
51.90224;4.51875
51.91025;4.51533
51.9159;4.509593
51.918;4.497033
51.91587;4.491098
51.91587;4.490363
51.9159;4.490312
51.91584;4.490207
51.91584;4.490215
51.91585;4.49022
51.91583;4.490207
51.91583;4.49022
51.91585;4.490162
51.91585;4.490208
51.91585;4.490227
51.91585;4.490185
51.91583;4.490171
51.91583;4.490191
51.91584;4.490171
51.91584;4.490201
51.91585;4.4902
51.91585;4.4902
51.91584;4.490222
51.91583;4.490218
51.91585;4.490232
51.91585;4.4902
51.91578;4.490318
51.91559;4.490555
51.91498;4.49082
51.91595;4.49394
51.9177;4.499087
51.91721;4.507033
51.91389;4.513842
51.90845;4.517211
51.90315;4.520103
51.90071;4.527213
51.90304;4.538785
51.90467;4.547425
51.90547;4.556955
51.90468;4.567383
51.90331;4.57622
51.90005;4.585223
51.89575;4.592717
51.89295;4.601558
51.89063;4.613687
51.88969;4.623417
51.89063;4.63321
51.89063;4.642962
51.89011;4.652332
51.88991;4.662883
51.89051;4.672359
51.89283;4.680793
51.89489;4.690328
51.89663;4.69974
51.89709;4.70956
51.89745;4.718618
51.89962;4.727962
51.90257;4.736435
51.90625;4.744935
51.91071;4.753597
51.91446;4.762002
51.91662;4.770935
51.91747;4.780165
51.91963;4.790302
51.92151;4.800243
51.92398;4.809593
51.92842;4.817068
51.93392;4.82486
51.93927;4.83265
51.9412;4.843502
51.9414;4.855999
51.9395;4.866263
51.93816;4.876693
51.93909;4.888337
51.94075;4.900658
51.94236;4.913495
51.94617;4.923062
51.95204;4.92791
51.95816;4.93175
51.96295;4.93875
51.96346;4.949518
51.96045;4.959098
51.96036;4.969543
51.96483;4.97713
51.9703;4.982685
51.97544;4.991187
51.97719;5.004655
51.9756;5.00982
51.97114;5.016917
51.9687;5.02565
51.97065;5.03525
51.97615;5.03985
51.98122;5.044135
51.98595;5.05266
51.98958;5.060315
51.99446;5.067902
51.99705;5.07557
51.99999;5.08544
52.00244;5.095237
52.0039;5.10331
52.00777;5.107312
52.01147;5.109588
52.01264;5.110135
52.01282;5.110183
52.01384;5.110641
52.01668;5.112051
52.01897;5.11298
52.02181;5.113863
52.02412;5.114588
52.02843;5.11485
52.03259;5.113395
52.03654;5.111693
52.04279;5.108645
52.04761;5.106343
52.05392;5.102967
52.05905;5.098732
52.06418;5.093926
52.0689;5.089422
52.07467;5.084143
52.08105;5.080347
52.0892;5.07865
52.09579;5.077404
52.10172;5.076412
52.11003;5.076963
52.11555;5.07285
52.11979;5.065542
52.12465;5.057297
52.12921;5.049132
52.13225;5.041467
52.13656;5.033475
52.14048;5.026697
52.14497;5.018808
52.1495;5.011035
52.15396;5.003285
52.16095;4.996645
52.16839;4.995118
52.17831;4.993923
52.17965;4.994075
52.18745;4.996018
52.19881;4.998975
52.20836;5.001595
52.21497;5.003433
52.22583;5.00639
52.23364;5.008471
52.24099;5.010465
52.24891;5.012593
52.25551;5.014473
52.26258;5.01639
52.26988;5.018402
52.27545;5.020226
52.28511;5.021657
52.29263;5.021375
52.30145;5.021318
52.30844;5.020053
52.31422;5.019092
52.32082;5.017877
52.32605;5.017653
52.33233;5.01527
52.34137;5.000167
52.34578;4.9918
52.35084;4.98229
52.35507;4.973902
52.35725;4.964726
52.36133;4.959058
52.36866;4.956612
52.37348;4.955415
52.3777;4.953367
52.3816;4.948713
52.3824;4.940293
52.38206;4.931716
52.38093;4.923093
52.38015;4.9162
52.37878;4.910537
52.37855;4.910325
52.37851;4.90965
52.37851;4.908872
52.37854;4.908711
52.37854;4.908708
52.37852;4.908715
52.37853;4.908687
52.37852;4.908705
52.37852;4.90871
52.37853;4.908702
52.37851;4.908693
52.37852;4.908725
52.37849;4.908723
52.37852;4.908707
52.37854;4.908718
52.37852;4.908685
52.37849;4.908703
52.37851;4.90872
52.37853;4.908711
52.3785;4.908727
52.37852;4.908695
52.37852;4.908703
52.3785;4.908715
52.37852;4.90871
52.37851;4.908682
52.3785;4.908687
52.37852;4.908692
52.3785;4.908702
52.37851;4.908713
52.37852;4.908697
52.37852;4.908672
52.3785;4.908737
52.37851;4.908687
52.37852;4.908689
52.3785;4.908708
52.37852;4.908693
52.37852;4.90871
52.37849;4.908687
52.37853;4.908669
52.37851;4.908687
52.37853;4.908717
52.37852;4.90871
52.37852;4.908673
52.37851;4.908708
52.37851;4.90869
52.37851;4.908659
52.37851;4.908693
52.37852;4.908715
52.37851;4.908692
52.37852;4.908695
52.37852;4.908693
52.37853;4.908705
52.37852;4.90871
52.37855;4.908675
52.37852;4.908692
52.37854;4.9087
52.37853;4.908718
52.37856;4.908707
52.37848;4.908682
52.37852;4.908679
52.37854;4.908667
52.37853;4.908893
52.37852;4.909544
52.37951;4.912973
52.38107;4.920217
52.38236;4.930702
52.38271;4.942662
52.38136;4.953802
52.38016;4.959103
52.38004;4.959585
52.37995;4.95999
52.37957;4.961438
52.37891;4.963183
52.37876;4.963304
52.37875;4.963493
52.37863;4.964628
52.37784;4.966953
52.37487;4.972792
52.37165;4.97941
52.36899;4.988402
52.36863;5.001312
52.36975;5.012457
52.37194;5.02193
52.37492;5.031882
52.37809;5.041623
52.38104;5.050192
52.3843;5.059757
52.38781;5.06976
52.39079;5.078122
52.39442;5.08779
52.39851;5.098027
52.40245;5.107762
52.40593;5.116505
52.4093;5.124557
52.41313;5.133363
52.41721;5.142502
52.42116;5.151898
52.42575;5.160455
52.43017;5.167805
52.43555;5.17326
52.44103;5.178333
52.44753;5.184387
52.45353;5.188615
52.45932;5.191463
52.46527;5.19289
52.47183;5.193733
52.47796;5.194561
52.48421;5.195382
52.49037;5.195795
52.49611;5.195271
52.503;5.1929
52.50942;5.189977
52.51515;5.18668
52.52141;5.18302
52.52811;5.179097
52.53431;5.175525
52.53942;5.171605
52.54493;5.167181
52.55119;5.162122
52.55681;5.15753
52.562;5.153214
52.56705;5.148972
52.57218;5.144683
52.57718;5.140312
52.58229;5.135007
52.58703;5.130025
52.59216;5.124649
52.59653;5.12003
52.60171;5.11453
52.60705;5.108867
52.61187;5.103785
52.61602;5.099365
52.62007;5.095072
52.62253;5.087673
52.62444;5.079522
52.62622;5.071852
52.62719;5.065307
52.62811;5.064897
52.63049;5.065388
52.63338;5.064397
52.63553;5.063593
52.63584;5.063362
52.63583;5.063352
52.63582;5.063365
52.63582;5.063368
52.63581;5.063374
52.63583;5.063357
52.63585;5.063347
52.63584;5.063318
52.63585;5.063325
52.63586;5.063323
52.63585;5.063332
52.63585;5.063322
52.63583;5.063317
52.63583;5.063323
52.63582;5.063338
52.63581;5.063357
52.63581;5.063374
52.63581;5.063358
52.63583;5.063352
52.63567;5.063583
52.63556;5.063735
52.6346;5.063927
52.63227;5.065797
52.63006;5.071567
52.62734;5.079838
52.62439;5.0884
52.6215;5.096208
52.61806;5.10354
52.61433;5.110592
52.61047;5.117488
52.59452;5.142247
52.60252;5.129913
52.59785;5.136563
52.59391;5.143281
52.58968;5.149532
52.58561;5.155837
52.58203;5.162285
52.57794;5.169423
52.57453;5.17571
52.57108;5.182963
52.56783;5.190592
52.5647;5.198283
52.56163;5.206042
52.5589;5.213315
52.55583;5.221902
52.55242;5.229977
52.54923;5.237393
52.54677;5.24557
52.54491;5.254892
52.5423;5.262212
52.53929;5.270058
52.53661;5.27724
